WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
116,1,Atauro Terrace 1a,,"No radiometric dates were able to be established for this terrace. Radiometric dates for the two higher terraces allowed an age-height plot to be constructed, which was then used to constrain this terrace (1a) to MIS 5a.",86.0,78.0,Equal to,MIS 5a,5a,"Chappell and Veeh, 1978
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
117,1,Lowly Point Formation,,The position of this formation between Holocene and Last Interglacial units led the authors to conlucde that this formation was deposited during MIS stage 5a.,86.0,78.0,Equal to,MIS 5a,5a,"Hails et al., 1984
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
118,1,False Bay Formation,,The position of this formation between Holocene and Last Interglacial units led the authors to conlucde that this formation was deposited during MIS stage 5a.,98.0,90.0,Equal to,MIS 5c,5c,"Hails et al., 1984
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
119,1,Bsissi Beach Ridge ,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",86.0,78.0,Equal to,MIS 5a,5a,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
120,1,Ghannouche Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",86.0,78.0,Equal to,MIS 5a,5a,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
121,1,Teboulbou Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",86.0,78.0,Equal to,MIS 5a,5a,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
122,1,Kettana Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",86.0,78.0,Equal to,MIS 5a,5a,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
123,1,Zarat Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",86.0,78.0,Equal to,MIS 5a,5a,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
124,1,Zerkine Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",98.0,90.0,Equal to,MIS 5c,5c,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
125,1,Zerkine Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",98.0,90.0,Equal to,MIS 5c,5c,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
126,1,Zarat Beach Ridge,,"The authors determine that, based upon ridge position and morpho sedimentary analyses, this ridge dates to MIS 5a.",98.0,90.0,Equal to,MIS 5c,5c,"Gzam et al. 2016
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
127,1,Davenport Terrace Diffusion modeling,,"By modeling the diffusion of the wave cut paleo-sea cliff, the authors assigned the Davenport terace to MIS 5a.",86.0,78.0,Equal to ,MIS 5a,5a,"Hanks et al., 1984;
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
128,1,Highway 1 Diffusion Modeling,,"By modeling the diffusion of the wave cut paleo-sea cliff, the authors assigned the Highway 1 terace to MIS 5c/5e.",129.0,90.0,Equal to ,"MIS 5a,MIS 5c",5c/5e,"Hanks et al., 1984;
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-11-19 10:47:16
129,1,Highway 1 ,Fault Modeling,A formal inversion of the Loma Prieta geologic fault model is used to assign the Highway 1 terrace to MIS 5e.,129.0,121.0,Equal to,MIS 5e,5e,"Valensise and Ward, 1991
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,WALIS Admin,2020-11-19 11:28:26
130,1,Muhs Unidentified U-Series Sample 2,Uranium-Thorium dating on a Bryozoan. ,A Bryozoan was testing using alpha spectrometry alongside coral samples taken from the same locality.,82.0,78.0,Equal to,MIS 5a,,"Muhs et al., 1990
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-12-02 18:41:05
131,1,LM-100,Uranium-thorium dating on bone.,The sample was composed of large mammal bone. The authors considered these samples as minimum ages. A Pa date was also reported for this sample (76+/-4). Bone collected ~0.6 km NW of Crowbar Canyon from a terrace 5.5 m apsl.,79.0,73.0,,N/A,,"Hanson et al., 1992
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,Jessica Creveling and Schmitty Thompson,2020-12-02 19:16:10
132,1,524p,Uranium-thorium dating on Bone.,The sample was composed of whale bone. The authors considered these samples as minimum ages. A Pa date was also reported for this sample (51+/-4). Sample collected ~.15 km west of Pecho Creek from a platform 3.2 +/- 0.2 m apsl. ,55.0,47.0,,N/A,,"Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-12-02 19:07:57
133,1,W87-101,Uranium-thorium dating on bone.,The sample was composed of a large mammal tooth. The authors considered these samples as minimum ages. A Pa date was also reported for this sample (109 +57/-25). Sample collected Near mouth of Pecho Creek from a terrace 4.6 m apsl.,86.0,80.0,,N/A,,"Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-12-02 19:10:22
134,1,DJH-79,Uranium-thorium dating on Bone.,"A U/Pa age is also provided, which gives a date (>96) which is marginally concordant with the U/Th age. The authors best interpretation of the age is 80-108 ka.",114.0,102.0,Equal to,MIS 5a,Date comes from a terrace assigned to MIS 5a.,"Rockwell et al., 1992
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-12-02 19:39:59
135,1,DJH-116,Uranium-thorium date on bone.,"A U/Pa age is also provided, which gives a date (87+/- 12) which is concordant with the U/Th age. The bone fragment was found on the abrasion platform. The authors interpret this terrace age as within MIS 5a.",91.0,83.0,,N/A,,"Rockwell et al., 1992
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2020-12-02 19:44:30
136,1,Strombus Bubonius fossil,the age is based on the presence of the indicative fossil Strombus Bubonius,Strombus Bubonius indicative fossil for MIS 5.5 in the marine terrace sediments ,0.0,0.0,Equal to,MIS 5e,,"Zomeni, 2021",Zomenia Zomeni,,2020-12-28 13:28:28
137,1,Mc02-001-001,AMS radiocarbon,"TO-2503: 47850+/-1090 yr BP



Marine shell fragment in marine silt and clay. The age is considered to be a minimum age, possibly MIS 5 in age.",0.0,48.0,Older than,MIS 3,"Though the age is finite, it is considered to be a minimum age and older than MIS 3.","McNeely, 2002",Evan Gowan,Evan Gowan,2021-01-26 16:34:41
138,1,BL88-001,Conventional radiocarbon,"GSC-1475: >37000 yr BP

Sample was whole shells of Hiatella Arctica. The outer fraction (outer 21-60%) produced a finite age (38200+/-2000), while the more reliable inner fraction was infinite.",0.0,37.0,Older than,MIS 3,"The radiocarbon age is infinite, so older than MIS 3.","Blake, 1988",Evan Gowan,,2021-01-26 16:34:14
139,1,Occhietti et al 1995,regional correlation and paleoenvironmental conditions,The age of the basal glacial till was interpreted to be Illinoisan (MIS 6) based on regional correlations of the depth of till unit. The thickness and character of the marine sediments were such that they thought a later substage of MIS 5 was not likely. Pollen in the upper parts of the marine unit indicate an environment that is warmer than present. They felt it was unlikely to be older than MIS 5e,0.0,0.0,Younger than,MIS 6,No direct dating of the unit have been done.,"Occhietti et al., 1995",Evan Gowan,,2021-01-29 17:08:59
140,1,Portage du Cap,Conventional Radiocarbon and stratigraphy,"Several radiocarbon dates give minimum ages of the marine unit.

GSC-2313 - plant detritus - >38 ka
BGS-259 - wood - >35 ka
GSC-4633 HP - marine shell fragments - 42.9 ± 0.72 ka

Pollen, diatom, beetle and marine fossils indicate that the sediments were deposited when there was warmer than present conditions. Specifically, fossils of oysters were found, indicating warmer water conditions, which rule out a MIS 3 assignment and making an MIS 5e assignment more likely. Overlying the marine unit is a terrestrial unit that has a pollen assemblage similar to present, indicating cooling conditions. These sediments are covered by Wisconsin till. 
",0.0,43.0,Older than,MIS 3,Minimum ages of radiocarbon dates and environmental conditions indicate the deposit is older than MIS 3.,"Dredge et al., 1992
 McNeely and McCuaig, 1991
 Prest et al., 1976",Evan Gowan,,2021-02-02 16:59:28
141,1,MIS 5 Terrace Correlation - France,"Correlation based upon physical characteristics including, but not limited to: sediments, pollen, altitude above modern sea level, and position within a terrace sequence. With regards to the latter, terrace age can be further refined to substages within MIS 5; i.e. MIS 5e, 5c, 5a.\r\n",Age determination by correlating terrace to either near-by or distant terraces (not necessarily the same country or continent) or the marine oxygen isotope stage.,132.0,80.0,Equal to,MIS 5,MIS 5,Pedoja et al - 2018,Víctor Cartelle,Víctor Cartelle,2022-04-22 10:21:10
142,1,"Ge 72, 4110 (a)",Radiocarbon,"age was determined with a calculated radiocarbon sample from a Siderastrea raadians  coral collected at 1,8 m asl. ",35.61,31.01,Older than,MIS 1,,"Geister,1972
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:47:27
143,1,"Ge 72, 4110 (b)",Radiocarbon,"age was determined with a calculated radiocarbon sample from a Siderastrea raadians  coral collected at 1,8 m asl. ",30.2,28.34,Older than,MIS 1,,"Geister,1972
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:47:35
144,1,Pre-Ranga volanic rocks,"39Ar/40Ar, K-Ar","Subglacial and aerial volcanic rocks contained in units that predate the deglaciation of Iceland prior to marine sedimentation in the Eemian (Ranga Formation). There are five dates associated with this unit. The ages are as follows:

- Litlilækur Ranga, ISLN-84 aerial lava (K-Ar): 155 +/- 25 ka
- Ljósufjöll (Gerðuberg, Snæfellness), ISLN-46, aerial lava (K-Ar): 135 +/-5 ka
- Prestahnúkur (Langjökull), subglacial (Ar/Ar): 132 +/- 19 ka
- Ljósufjöll (Nykuhraum, Snæfellness), ISLN-99, aerial lava (K-Ar): 129+/-4 ka
- Ljósufjöll summit (Snæfellness), 02/102,L13,U5, subglacial (Ar/Ar): 129+/-16
",155.0,129.0,Older than,MIS 5e,Dates rocks and sediments that correlate with the Saalian (MIS 6) glaciation,"Clay et al., 2014
 Flude et al., 2008
 Van Vliet-Lanoe et al., 2018",Evan Gowan,,2021-03-12 16:24:33
145,1,Poolepynten polar bear fossil,phylogenetic reconstruction analyses,"Based on the comparative analysis of modern brown bears (specifically brown bears located on islands in Alaska) and modern polar bears, the polar bear fossil found in interglacial sediments was found to be genetically close to the most recent common ancestor of both brown and polar bears. The most recent common ancestor of polar bears and the Alaskan island brown bears was about 152 ka, while the mean age for all polar bears was 134 ka. It was estimated the fossil bear lived about 10-30 thousand years from the branching point, consistent with an Eemian age assignment.",0.0,0.0,,N/A,,"Lindqvist et al., 2010",Evan Gowan,,2021-03-31 08:06:34
146,1,Robe II Oxygen Isotope Estimate,Oxygen Isotope Estimate,The unit was assigned to MIS 5a based on correlations between the local stratigraphy with established oxygen isotope records.,0.0,0.0,Equal to,MIS 5a,,"Schwebel, 1984
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2021-04-23 17:39:45
147,1,Robe III Oxygen Isotope Estimate,Oxygen Isotope Estimate,The unit was assigned to MIS 5c based on correlations between the local stratigraphy with established oxygen isotope records.,0.0,0.0,Equal to,MIS 5c,,"Schwebel, 1984
 Thompson and Creveling, 2021",Jessica Creveling and Schmitty Thompson,,2021-04-23 17:43:03
148,1,Norra Sannäs interglacial,AMS Radiocarbon,"Radiocarbon dating was attempted on sediment correlated to the last interglacial. There was very little organic carbon, and therefore the ages were regarded as minimum ages. the ages were:

18860+-380 (Ua-1665)
25480+-520 (Ua-1666)",150.0,25.0,Older than,MIS 2,"The radiocarbon dates are finite, but regarded as minimum ages.",,Evan Gowan,,2021-05-14 14:32:52
149,1,Ozernay River 1,Radiocarbon,"Mollusc shells from unit ""M-III"", which is correlated to the Eemian. These two samples come from an elevation of about 82 m and are regarded as being non-finite.

CURL-6940: 49920+-480 yr BP
CURL-6941: >54700",300.0,54.0,Older than,MIS 3,Ages are considered to be non-finite,Möller et al 2007,Evan Gowan,,2021-05-20 09:33:58
150,1,Ozernay River 2,Radiocarbon,"Mollusc shells from unit ""M-III"", which is correlated to the Eemian. These two samples come from an elevation of about 100 m and are regarded as being non-finite.

CURL-6948: 44350+-470 yr BP
CURL-6941: 51710+-460 yr BP",300.0,51.0,Older than,MIS 3,Ages are considered to be non-finite,Möller et al 2007,Evan Gowan,,2021-05-20 09:36:33
151,1,Anjeliko River AR4,Radiocarbon,"material dated: Hiatella arctica
elevation: 58.3 m
Sample ID: LuA-4853
Age: >40 000 yr BP",200.0,40.0,Older than,MIS 3,"Infinite age. Based on other ESR and OSL dating, this unit is likely MIS 5e in age.","Möller et al., 2008",Evan Gowan,,2021-07-12 05:49:46
152,1,Bolotniy River BR1,Radiocarbon,"material dated: Hiatella arctica
elevation: 45.7 m
Sample ID: LuA-4854
Age: >40 000 yr BP

material dated: Astarte borealis
elevation: 46.5 m
Sample ID: LuA-4855
Age: >40 000 yr BP",200.0,40.0,Older than,MIS 3,"Infinite age. Based on other ESR and OSL dating, this unit is likely MIS 5e in age.","Möller et al., 2008",Evan Gowan,,2021-07-12 05:52:10
153,1,Kratnaya River KR2,Radiocarbon,"material dated: Astarte borealis
elevation: 38.1 m
Sample ID: LuA-4851
Age: >40 000 yr BP",200.0,40.0,Older than,MIS 3,"Infinite age. Based on other ESR and OSL dating, this unit is likely MIS 5e in age.","Möller et al., 2008",Evan Gowan,,2021-07-12 05:53:36
154,1,Jackson 2017 A/I and U series,A/I and U series,Constrained by combination of A/I and U series age by Jackson 2017 thesis,0.0,0.0,Equal to,MIS 5e,,Jackson PhD Thesis,Alexandra Villa,Alexandra Villa,2021-08-05 19:51:14
155,1,Unpublished radiometric age ,U-series,"Unpublished U-series data indicates MIS 5e age (personal communication, A. Rovere).",0.0,0.0,Equal to,MIS 5e,,,Alexandra Villa,Alexandra Villa,2021-08-06 16:18:13
156,1,Kap Hope radiocarbon,Radiocarbon,"Two radiocarbon dates from shells in diamiction overlying gravelling transgressive sediments. The shells were likely incorporated from the underlying sediments. Both gave non-finite ages and therefore predate MIS 3.

lab no: AAR-I 171
material: Balunus crenatus
age: > 42 ka

lab no: AAR-I 172
material: Mya truncata
age: > 40 ka
",200.0,40.0,Older than,MIS 3,Non-finite age,"Mangerud and Funder, 1994",Evan Gowan,Evan Gowan,2021-09-02 08:55:27
157,1,Kikiakajik radiocarbon,Radiocarbon,"The radiocarbon date comes from a sublittoral silty sand unit. It gave non-finite ages and therefore predate MIS 3.

lab no: AAR-I 186
material: Hiatella arctica
age: > 44 ka
",200.0,44.0,Older than,MIS 3,Non-finite age,"Mangerud and Funder, 1994",Evan Gowan,Evan Gowan,2021-09-03 02:08:23
158,1,Le Bassin radiocarbon,radiocarbon,"Two radiocarbon dates were taken from the interglacial unit at this location. The first is a wood fragment from a terrestrial peat. It gave a non-finite age. The second is from paired valves of Macoma calcarea in the uppermost gravel unit that was interpreted as a coastal barrier. It gave a finite age, but this was assumed to be a minimum age.



Wood: GSC-3623 - > 46000 yr BP

Macoma calcarea: GSC-4633 HP - 42900 +/- 720 yr BP",200.0,42.0,Older than,MIS 3,Minimum ages,"Dredge et al., 1992
 McNeely and McCuaig, 1991",Evan Gowan,Evan Gowan,2021-09-10 07:35:59
159,1,Le Bassin U/Th,U/Th disequilibrium method,"Three U/Th dates on wood from terrestrial peat deposited beneath marine sands. The unit was assumed to be from the last interglacial (MIS 5e), and therefore the ages are minimum ages since they are too young.



UQT-183: 106,400 +8400/-8000

UQT-182: 101,700 +17000/-14000

UQT-184: 89,00 +8000/-7100",0.0,0.0,Equal to,MIS 5,,"Dredge et al., 1992",Evan Gowan,Evan Gowan,2021-09-10 07:35:40
160,1,Liverpool Bay radiocarbon,radiocarbon,"Driftwood from a marine sand and silt, which gave a non-finite age.

GSC-3720: >38000 yr BP",200.0,38.0,Older than,MIS 3,,"Rampton, 1988",Evan Gowan,,2021-09-10 07:35:20
161,1,Clyde Foreland Radiocarbon,Radiocarbon,"The radiocarbon date is on a (possible) soil from a section denoted ""Profile 6"". The soil overlies marine sands and underlies mid-Wisconsin glaciomarine sediments. Analysis of pollen from this soil indicates plant species that are not found in this region at present and indicates a warmer climate. The radiocarbon date was finite, but was regarded as a minimum age.

QL-188: 50400 +1000/-900",200.0,50.0,Older than,MIS 3,,"Miller et al., 1977",Evan Gowan,Evan Gowan,2021-09-13 02:27:33
162,1,Iterlak K Radiocarbon,Radiocarbon,"The age is finite, but this is considered to be a minimum age.

Lab no: SRR-3762
Material: Hiatella arctica + Mya truncata
Age: 42390 +1700 -2160",200.0,43.0,Older than,MIS 3,,"Kelly et al., 1999",Evan Gowan,,2021-09-23 08:44:26
163,1,Anadara trapezia,Indicator species,"Extensive distribution and abundance throughout Australia during MIS 5e has been severely constricted during the Holocene allowing for the species to be considered an indicator species of MIS 5e around much (but not all) of the continent. There is limited presence of the species during MIS 7.
Although present in the NZ fossil record for MIS 11, 9, 7, and 5e, the species has since become extinct in NZ. It is not considered an indicator species for MIS 5e within NZ, but for Middle to Late Pleistocene interglacials. ",128.0,116.0,Equal to,MIS 5e,This age indication is confined only to Australia.,"Murray-Wallace et al., 2000",Deirdre Ryan,Deirdre Ryan,2021-10-22 20:53:21
