WALIS ESR ID,Is this datapoint public?,Method,IGSN,Reference(s),Sample ID,Analysis ID,Reported ID,Laboratory name,Date of analysis,Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Younger/Equal to,Marine Isotopic Stage,Comments/details on MIS designation or age,Age (ka),Age uncertainty (ka),Mineral type,Grain size (µm),Aliquot size (mg),Measurement protocol,ESR spectrometre type,Measurement temperature (K),Acquisition parameters,ESR signal,Number of scans,Number of repeated measurements,Number of rotations in the cavity,Evaluation of the ESR signal intensity,Correction of the ESR intensities,Bleaching coefficient (%),Fitting program and error calculation,Fitting function,Data weighting used for fitting,Equivalent dose estimate (Gy),Equivalent dose estimate undertainty (±1σ) (Gy),Depth (m),Technique,Dose rate uncertainty type,external U (ppm),external U error (ppm),external Th (ppm),external Th error (ppm),external K (%),external K error (%),external Rb (ppm),external Rb error (ppm),External dose rate (Gy/ka),External dose rate uncertainty (Gy/ka),internal U (ppm),internal U error (ppm),internal Th (ppm),internal Th error (ppm),internal K (%),internal K error (%),internal Rb (ppm),internal Rb error (ppm),Internal dose rate (Gy/ka),Internal dose rate uncertainty (Gy/ka),Alpha dose rate (Gy/ka),Alpha dose rate error (Gy/ka),Gamma dose rate (Gy/ka),Gamma dose rate error (Gy/ka),Beta dose rate (Gy/ka),Beta dose rate error (Gy/ka),Cosmic dose rate (Gy/ka),Cosmic dose rate error (Gy/ka),Field water content (% of dry mass),Water content determination method,Water content used (%),Water content used error (%),Attenuation factors,Conversion factors,Alpha efficiency factor,Etching method,Etch depth (µm),Etch depth error (µm),Total dose rate (Gy/ka),Total dose rate uncertainty (Gy/ka),Comments and notes,Record created by,Record updated by,Last Update
106,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-001,SC04-001-001,K4003,,,Yes,,,,12.277474,-69.051679,Yes,High Tide Level,Not reported,10,N/A,N/A,N/A,,Equal to,MIS 5,,124.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-06 18:04:41
107,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-002,SC04-002-001,K4006,,,Yes,,,,12.387517,-69.144038,Yes,High Tide Level,Not reported,9,N/A,N/A,N/A,,Equal to,MIS 5,,116.00,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-08 16:13:59
108,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-003,SC04-003-001,K4007,,,Yes,,,,12.387517,-69.144038,Yes,High Tide Level,Not reported,7,N/A,N/A,N/A,,Equal to,MIS 5,,124.00,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-08 16:14:46
109,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-004,SC04-004-001,K4009a,,,Yes,,,,12.387517,-69.144038,Yes,High Tide Level,Not reported,10,N/A,N/A,N/A,,Equal to,MIS 5,,140.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-08 16:15:17
110,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-005,SC04-005-001,K4009b,,,Yes,,,,12.387517,-69.144038,Yes,High Tide Level,Not reported,10,N/A,N/A,N/A,,Equal to,MIS 5,,108.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-08 16:15:36
111,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-005,SC04-005-002,K4009b1,,,Yes,,,,12.387517,-69.144038,Yes,High Tide Level,Not reported,10,N/A,N/A,N/A,,Equal to,MIS 5,,101.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-08 16:15:57
113,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-006,SC04-006-001,K4010,,,Yes,,,,12.052154,-68.747586,Yes,High Tide Level,Not reported,2.5,1.5,N/A,N/A,Elevation range from 2.5 to 4 m.a.s.l.,Equal to,MIS 5,,112.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,,2020-05-07 17:05:21
114,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-007,SC04-007-001,K4011,,,Yes,,,,12.052154,-68.747586,Yes,High Tide Level,Not reported,2.5,1.5,N/A,N/A,Elevation range from 2.5 to 4 m.a.s.l.,Equal to,MIS 5,,111.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,,2020-05-07 17:06:14
115,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-008,SC04-008-001,K4019,,,Yes,,,,12.373829,-69.125355,Yes,High Tide Level,Not reported,9,1,N/A,N/A,Elevation range from 8 to 10 m.a.s.l.,Equal to,MIS 5,,123.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:41:32
116,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-009,SC04-009-001,K4020,,,Yes,,,,12.373829,-69.125355,Yes,High Tide Level,Not reported,9,1,N/A,N/A,Elevation range from 8to 10 m.a.s.l.,Equal to,MIS 5,,125.00,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:41:17
117,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-010,SC04-010-001,K4021,,,Yes,,,,12.373829,-69.125355,Yes,High Tide Level,Not reported,9,1,N/A,N/A,Elevation range from 8 to 10 m.a.s.l.,Equal to,MIS 5,,118.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:40:57
118,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-011,SC04-011-001,K4024,,,Yes,,,,12.385825,-69.141518,Yes,High Tide Level,Not reported,9,1,N/A,N/A,Elevation range from 9 to 10 m.a.s.l.,Equal to,MIS 5,,120.00,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:43:08
119,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-012,SC04-012-001,K4025,,,Yes,,,,12.385825,-69.141518,Yes,High Tide Level,Not reported,9,1,N/A,N/A,Elevation range from 9 to 10 m.a.s.l.,Equal to,MIS 5,,116.00,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:42:51
120,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-013,SC04-013-001,K4026,,,Yes,,,,12.385825,-69.141518,Yes,High Tide Level,Not reported,9,1,N/A,N/A,Elevation range from 9 to 10 m.a.s.l.,Equal to,MIS 5,,113.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:43:56
121,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-014,SC04-014-001,K4029,,,Yes,,,,12.262312,-69.042612,Yes,High Tide Level,Not reported,6,1,N/A,N/A,Elevation range from 6 to 7 m.a.s.l.,Equal to,MIS 5,,117.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:45:31
122,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-016,SC04-016-001,K4031,,,Yes,,,,12.262312,-69.042612,Yes,High Tide Level,Not reported,6,1,N/A,N/A,Elevation range from 6 to 7 m.a.s.l.,Equal to,MIS 5,,118.00,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:49:24
123,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-017,SC04-017-001,K4032,,,Yes,,,,12.262312,-69.042612,Yes,High Tide Level,Not reported,6,1,N/A,N/A,Elevation range from 6 to 7 m.a.s.l.,Equal to,MIS 5,,103.00,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:50:07
124,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-018,SC04-018-001,K4036,,,Yes,,,,12.157296,-68.829802,Yes,High Tide Level,Not reported,5,1,N/A,N/A,Elevation range from 5 to 6  m.a.s.l.,Equal to,MIS 5,,112.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-11-20 16:24:38
125,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-019,SC04-019-001,K4037,,,Yes,,,,12.157296,-68.829802,Yes,High Tide Level,Not reported,5,1,N/A,N/A,Elevation range from 5 to 6  m.a.s.l.,Equal to,MIS 5,,120.00,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-11-20 16:26:01
126,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-020,SC04-020-001,K4040,,,Yes,,,,12.155712,-68.826980,Yes,High Tide Level,Not reported,5,1,N/A,N/A,Elevation range from 5 to 6  m.a.s.l.,Equal to,MIS 5,,120.00,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:54:14
127,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-021,SC04-021-001,K4042,,,Yes,,,,12.155712,-68.826980,Yes,High Tide Level,Not reported,5,1,N/A,N/A,Elevation range from 5 to 6  m.a.s.l.,Equal to,MIS 5,,117.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:55:10
128,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-022,SC04-022-001,K4043,,,Yes,,,,12.155712,-68.826980,Yes,High Tide Level,Not reported,5,1,N/A,N/A,Elevation range from 5 to 6  m.a.s.l.,Equal to,MIS 5,,116.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:56:19
129,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-023,SC04-023-001,K4049,,,Yes,,,,12.378402,-69.132382,Yes,High Tide Level,Not reported,7,1,N/A,N/A,Elevation range from 7 to 8  m.a.s.l.,Equal to,MIS 5,,118.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2020-05-07 17:57:53
145,1,Corals,,"Schellmann et al., 2004a
 Rubio-Sandoval et al., 2021",SC04-024,SC04024-001,K4030,,,Yes,,,,12.378402,-69.132382,Yes,Mean Sea Level / General definition,Not reported,10,2,10,2,,Equal to,MIS 5e,,124.00,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karla Zurisadai Rubio Sandoval ,WALIS Admin,2020-12-07 10:49:04
