WALIS AAR ID,Is this datapoint public?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Laboratory name,Sample Type,Taxonomy,Sample position,Whole-Rock?,Grain Size (μm),Carbonate (%),Fraction (μm),Notes and comments on sample quality,Collection Context,Depth of burial (m),Accepted?,Reason for rejection,Reported Latitude,Reported Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Are Lat/Long estimated?,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reported age (ka),Reported age uncertainty (±2σ) (ka),Current Annual Mean Temperature (°C),Preparation procedure,Method of chromatography,Stationary phase of the column,Number of replicates (samples),Number of sample replicates (injections),Ratio type,Pyrolysis experiment available,Level of uncertainty,Aspartic,Aspartic uncertainty,Glutamic,Glutamic uncertainty,Serine,Serine uncertainty,Alanine,Alanine uncertainty,Valine,Valine uncertainty,*A/I,*A/I uncertainty,Leucine,Leucine uncertainty,Notes/Comments,Independent age constraints available?,Calibration data available?,Are free AAR ratios available?,Level of uncertainty free AAR,Aspartic (free AAR),Aspartic uncertainty (free AAR),Glutamic (free AAR),Glutamic uncertainty (free AAR),Serine (free AAR),Serine uncertainty (free AAR),Alanine (free AAR),Alanine uncertainty (free AAR),Valine (free AAR),Valine uncertainty (free AAR),*A/I (free AAR),*A/I uncertainty (free AAR),Leucine (free AAR),Leucine uncertainty (free AAR),Notes/Comments free AAR,Calibration method,Amino Acid age equation,Calibration laboratory,Calibration laboratory ID,Calibration reference,Calibration D/L value,Calibration D/L value uncertainty (±1σ),Calibration age (ka),Calibration age (ka) uncertainty (±1σ),Independent age choice,Independent age method,Independent age laboratory,Independent age laboratory ID,Independent age result,Independent age reference,U-Series age constraint,ESR age constraint,Luminescence age constraint,Stratigraphic age constraint,Record created by,Record updated by,Last Update
44,1,"Oakley et al, 2017
 Ryan et al., 2020",,OA17-002,OA17-002-001,"Field GA3, Laboratory 9455",,Northern Arizona University Amino Acid Geochronology Laboratory,multiple marine bivalve molluscs,"Tawera spissa



",,No,,,,,shell samples collected from the same Tarapuhi Terrace location sampled by Ota et al (1996).,N/A,Yes,,,,-43.101637,172.881092,No,Mean Sea Level / General definition,Not reported,60,4.0,N/A,N/A,Lat/Long and elevation from supplementary table 2. Elevation is based upon non-differential DGPS and DEMs and may have uncertainty of several meters; uncertainty assigned here to equal uncertainty of RSL indicator. ,Equal to,MIS 5,Correlated to MIS 5c,109.00,,,"Kaufman and Manley, 1998 and Penkman, 2008.



Shells were pretreated to isolate the intracrystalline fraction of amino acids.



cleaned mechanically, 33% acid leach, fround and bleached for 48 hours, hydrolyzed 22 hours.",reverse-phase high-performance liquid chromatography,,5,,,,1-sigma,0.576,0.016,0.279,0.012,0.638,0.032,0.665,0.018,0.218,0.040,0.317,0.069,0.720,0.111,Suplementary Table 2 provides additional D/L values  for individual shell results. Aspartic D/L value provided here is a generated mean and standard deviation and is as reported in publication. Other amino acid means from Suplementary Table 3.,Yes,Yes,No,N/A,,,,,,,,,,,,,,,,"Six collections of shells from deposits of known age (predominantly from Whanganui Basin of southern North Island) were used for the AAR calibration data set (Table 4 of same publication). Best fit function was calculated for aspartic D/L values using Bayesian fitting method and R scritps of Allen et al (2013). 

For each field site sample, a weighted mean age was calculated, along with a 95% confidence interval. Uncertainties take into account the eight models with Bayesian information criterion (BIC) values producing larger confidence intervals than for the kinetic function chosen (Table 5).

See suplementary table 3 for Bayesian Model details. ","simple power-law kinetics (Goodfriend et al., 1995)",Northern Arizona University Amino Acid Geochronology Laboratory,See Table 4,1121,,,,,Luminescence,,,,,,,,OA17-004-001,,Deirdre Ryan,Deirdre Ryan,2020-02-13 05:22:04
45,1,"Oakley et al, 2017
 Ryan et al., 2020",,OA17-003,OA17-003-001,"Field GA4, Laboratory 10938",,Northern Arizona University Amino Acid Geochronology Laboratory,multiple marine bivalve molluscs,"Tawera spissa



",,No,,,,,shell samples collected from the same Tarapuhi Terrace location sampled by Ota et al (1996).,N/A,Yes,,,,-43.101206,172.879435,No,Mean Sea Level / General definition,Differential GPS,58.7,4.0,N/A,N/A,Lat/Long and elevation from supplementary table 2. Uncertainty not provided and assigned here to equal uncertainty of RSL indicator. ,Equal to,MIS 5,Correlated to MIS 5c,111.00,,,"Kaufman and Manley, 1998 and Penkman, 2008.



Shells were pretreated to isolate the intracrystalline fraction of amino acids.



cleaned mechanically, 33% acid leach, fround and bleached for 48 hours, hydrolyzed 22 hours.",reverse-phase high-performance liquid chromatography,,5,,,,1-sigma,0.585,0.015,0.271,0.013,0.649,0.011,0.621,0.049,0.237,0.015,0.294,0.013,0.505,0.063,Suplementary Table 2 provides additional D/L values  for individual shell results. Aspartic D/L value provided here is a generated mean and standard deviation and is as reported in publication. Other amino acid means from Suplementary Table 3.,Yes,Yes,No,N/A,,,,,,,,,,,,,,,,"Six collections of shells from deposits of known age (predominantly from Whanganui Basin of southern North Island) were used for the AAR calibration data set (Table 4 of same publication). Best fit function was calculated for aspartic D/L values using Bayesian fitting method and R scritps of Allen et al (2013). 

For each field site sample, a weighted mean age was calculated, along with a 95% confidence interval. Uncertainties take into account the eight models with Bayesian information criterion (BIC) values producing larger confidence intervals than for the kinetic function chosen (Table 5).

See suplementary table 3 for Bayesian Model details. ","simple power-law kinetics (Goodfriend et al., 1995)",Northern Arizona University Amino Acid Geochronology Laboratory,See Table 4,1121,,,,,Luminescence,,,,,,,,OA17-004-001,,Deirdre Ryan,Deirdre Ryan,2020-02-13 05:21:12
46,1,"Oakley et al, 2017
 Ryan et al., 2020",,OA17-004,OA17-004-001,"Field GA5, Laboratory 10937",,Northern Arizona University Amino Acid Geochronology Laboratory,multiple marine bivalve molluscs,"Tawera spissa

",,No,,,,This sample showed unually high intershell variability and had large uncertainty.,shell samples collected from the same Tarapuhi Terrace location sampled by Ota et al (1996).,N/A,Yes,,,,-43.099126,172.876340,No,Mean Sea Level / General definition,Differential GPS,61.5,4.0,N/A,N/A,Lat/Long and elevation from supplementary table 2. Uncertainty not provided and assigned here to equal uncertainty of RSL indicator. ,Equal to,MIS 5,Correlated to MIS 5c,79.00,,,"Kaufman and Manley, 1998 and Penkman, 2008.

Shells were pretreated to isolate the intracrystalline fraction of amino acids.

cleaned mechanically, 33% acid leach, fround and bleached for 48 hours, hydrolyzed 22 hours.",reverse-phase high-performance liquid chromatography,,5,,,,1-sigma,0.542,0.043,0.265,0.021,0.618,0.034,0.658,0.028,0.246,0.020,0.290,0.012,0.515,0.063,Suplementary Table 2 provides additional D/L values  for individual shell results. Aspartic D/L value provided here is a generated mean and standard deviation and is as reported in publication. Other amino acid means from Suplementary Table 3.,Yes,Yes,No,N/A,,,,,,,,,,,,,,,,"Six collections of shells from deposits of known age (predominantly from Whanganui Basin of southern North Island) were used for the AAR calibration data set (Table 4 of same publication). Best fit function was calculated for aspartic D/L values using Bayesian fitting method and R scritps of Allen et al (2013). 
For each field site sample, a weighted mean age was calculated, along with a 95% confidence interval. Uncertainties take into account the eight models with Bayesian information criterion (BIC) values producing larger confidence intervals than for the kinetic function chosen (Table 5).
See suplementary table 3 for Bayesian Model details. ","simple power-law kinetics (Goodfriend et al., 1995)",Northern Arizona University Amino Acid Geochronology Laboratory,See Table 4,1121,,,,,Luminescence,,,,,,,,OA17-004-001,,Deirdre Ryan,Deirdre Ryan,2020-02-13 05:20:25
47,1,"Oakley et al, 2017
 Ryan et al., 2020",,OA17-005,OA17-005-001,"Field MB5, Laboratory 10930, 10932",,Northern Arizona University Amino Acid Geochronology Laboratory,multiple marine bivalve molluscs,"Tawera spissa

",,No,,,,,shell samples collected from the same Tarapuhi Terrace location sampled by Ota et al (1996).,N/A,Yes,,,,-43.046008,173.035130,No,Mean Sea Level / General definition,Not reported,70,4.0,N/A,N/A,"Lat/Long and elevation from supplementary table 2. Elevation is approximate, based upon non-differential GPS and DEMs and may have an uncertainty of several meters. Uncertainty not provided and assigned here to equal uncertainty of RSL indicator. ",Equal to,MIS 5,Correlated to MIS 5a,68.00,,,"Kaufman and Manley, 1998 and Penkman, 2008.

Shells were pretreated to isolate the intracrystalline fraction of amino acids.

cleaned mechanically, 33% acid leach, fround and bleached for 48 hours, hydrolyzed 22 hours.",reverse-phase high-performance liquid chromatography,,5,,,,1-sigma,0.524,0.027,0.263,,0.584,,0.625,,0.229,,0.255,,0.478,,Suplementary Table 2 provides additional D/L values  for individual shell results. Aspartic D/L value provided here is a generated mean and standard deviation and is as reported in publication. Other amino acid means from Suplementary Table 3.,Yes,Yes,No,N/A,,,,,,,,,,,,,,,,"Six collections of shells from deposits of known age (predominantly from Whanganui Basin of southern North Island) were used for the AAR calibration data set (Table 4 of same publication). Best fit function was calculated for aspartic D/L values using Bayesian fitting method and R scritps of Allen et al (2013). 
For each field site sample, a weighted mean age was calculated, along with a 95% confidence interval. Uncertainties take into account the eight models with Bayesian information criterion (BIC) values producing larger confidence intervals than for the kinetic function chosen (Table 5).
See suplementary table 3 for Bayesian Model details. ","simple power-law kinetics (Goodfriend et al., 1995)",Northern Arizona University Amino Acid Geochronology Laboratory,See Table 4,1121,,,,,Luminescence,,,,,,,,OA17-005-001,,Deirdre Ryan,Deirdre Ryan,2020-02-13 05:13:31
48,1,"Oakley et al, 2017
 Ryan et al., 2020",,OA17-006,OA17-006-001,"Field MB6, Laboratory 10931",,Northern Arizona University Amino Acid Geochronology Laboratory,multiple marine bivalve molluscs,"Tawera spissa

",,No,,,,Sample retrieved from a 'slumped block',shell samples collected from the same Tarapuhi Terrace location sampled by Ota et al (1996).,N/A,Yes,,,,-43.059344,173.014496,No,Mean Sea Level / General definition,Not reported,33,4.0,N/A,N/A,"Lat/Long and elevation from supplementary table 2. Elevation is approximate, based upon non-differential GPS and DEMs and may have an uncertainty of several meters. Uncertainty not provided and assigned here to equal uncertainty of RSL indicator. ",Equal to,MIS 5,Correlated to MIS 5a,83.00,,,"Kaufman and Manley, 1998 and Penkman, 2008.

Shells were pretreated to isolate the intracrystalline fraction of amino acids.

cleaned mechanically, 33% acid leach, fround and bleached for 48 hours, hydrolyzed 22 hours.",reverse-phase high-performance liquid chromatography,,5,,,,1-sigma,0.548,0.017,0.265,0.012,0.597,0.019,0.648,0.025,0.244,0.017,0.287,0.020,0.517,0.056,Suplementary Table 2 provides additional D/L values  for individual shell results. Aspartic D/L value provided here is a generated mean and standard deviation and is as reported in publication. Other amino acid means from Suplementary Table 3.,Yes,Yes,No,N/A,,,,,,,,,,,,,,,,"Six collections of shells from deposits of known age (predominantly from Whanganui Basin of southern North Island) were used for the AAR calibration data set (Table 4 of same publication). Best fit function was calculated for aspartic D/L values using Bayesian fitting method and R scritps of Allen et al (2013). 
For each field site sample, a weighted mean age was calculated, along with a 95% confidence interval. Uncertainties take into account the eight models with Bayesian information criterion (BIC) values producing larger confidence intervals than for the kinetic function chosen (Table 5).
See suplementary table 3 for Bayesian Model details. ","simple power-law kinetics (Goodfriend et al., 1995)",Northern Arizona University Amino Acid Geochronology Laboratory,See Table 4,1121,,,,,Luminescence,,,,,,,,OA17-005-001,,Deirdre Ryan,Deirdre Ryan,2020-02-13 05:18:30
40,1,"Ota et al., 1996
 Ryan et al., 2020",,OT96-001,OT96-001-001,Kaikoura Terrace 1,,"G. Sykes, University of Wales",venerid bivalve,Tawera spissa ,,No,,,,,"from within a unit of pebbly, shelly sand retrieved by auger. Multiple other species collected, see Table 1 of publication. Taxa indicate a cool water climate. This detail was used to argue for an age of MIS 5c for the terrace and not MIS 5e. ",slightly over 6 m,Yes,,,,-42.411194,173.677663,,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,89,2,89,2,"Elevation of marine terrace surface was determined by altimeter to be 95 m asl. According to the stratigraphic drawing in the publication, the sample was retrieved from just below 6 m depth of burial from terrace surface. ",Equal to,MIS 5c,MIS 5c,110.00,20.00,12.3,referred to Bowan et al (1985),unknown,,,,,,1-sigma,,,,,,,,,,,0.260,0.010,,,The indication of a cool water climate by the fossil taxa was used by the authors to argue for a MIS 5c age rather than MIS 5e.,No,Yes,No,N/A,,,,,,,,,,,,,,,,"Amino acid age equation and Arrhenius equation; the latter to allow for the difference in long-term temperature history between the sample and the calibration sample/site. 
Sample was calibrated to unpublished D/L values from the 80 ka Hauriri Marine Terrace in the Whanganui Basin. ",integrated rate equation,,,923,0.240,0.010,80.00,,,,,,,,,,,,Deirdre Ryan,WALIS Admin,2020-06-10 17:50:05
41,1,"Ota et al., 1996
 Ryan et al., 2020",,OT96-002,OT96-002-001,Tarapuhi Terrace,,"G. Sykes, University of Wales",venerid bivalve,Tawera spissa ,,No,,,,,"From marine unit over abrasion platform. Multiple other species collected, see Table 1 of publication. Taxa indicate a cool water climate. This detail was used to argue for an age of MIS 5c for the terrace and not MIS 5e. ",unstated; overlain by meters of loess,Yes,,,,-42.559263,173.509117,No,Mean Sea Level / General definition,Photogrammetric methods or aneroid altimeter,163,3.25,163,3.25,The marine unit from which the shell sample was retrieved rests upon an abrasion platform at 162 m a.s.l. and is 2.5 m thick. ,Equal to,MIS 5c,MIS 5c,135.00,35.00,12.1,referred to Bowan et al (1985),unknown,,,,,,1-sigma,,,,,,,,,,,0.300,0.040,,,The indication of a cool water climate by the fossil taxa was used by the authors to argue for a MIS 5c age rather than MIS 5e.,No,Yes,No,N/A,,,,,,,,,,,,,,,,"Amino acid age equation and Arrhenius equation; the latter to allow for the difference in long-term temperature history between the sample and the calibration sample/site. 
Sample was calibrated to unpublished D/L values from the 80 ka Hauriri Marine Terrace in the Whanganui Basin. ",integrated rate equation,,,923,0.240,0.010,80.00,,,,,,,,,,,,Deirdre Ryan,WALIS Admin,2020-06-10 18:21:19
111,1,"Pillans, 1983
 Ryan et al., 2020",,PI83-001,PI83-001-001,BJP-029,,Unknown,wood fragment ,,wood fragment,No,,,,Resulting D/L value a low outlier.,Wood sample collected from tephric lignite,unknown,Yes,,,,-39.570839,174.449904,No,, ,N/A,N/A,N/A,N/A,,Equal to,MIS 11,MIS 11. Fission-track age of overlying Rangitawa Pumice used to constrain age.,400.00,,,Analytical methods as described by Lee et al (1976) except no desalting step,modified Technicon amino acid auto-analyzer,,,,peak area,No.,1-sigma,,,,,,,,,,,0.016,,,,"Age determined by extent of isoleucine epimerisation and calibrated against this (1 of 4) wood samples closely underlying the rhyolitic Rangitawa tephra, fission-track dated at 370,000 +/- 50,000 15 km NE of Hawera. Details in Pillans & Kohn, 1981. 
",No,Yes,No,N/A,,,,,,,,,,,,,,,,"From publication: The calibration method of age determination was employed using a mean D/L ratio of 0.112 and a mean age of 400,000 yr for four wood samples from the lignite at locality 3 [see samples PI83-01 (this sample), 02, 03, 04]. An initial D/L ratio of 0.01 was assumed for all calculations and is based on analysis of yong radiocarbon-dated samples. A value of 0.86 for the equilibrium constant for isoleucine epimerization in wood was determined by Lee et al (1976) and was used in this study. Substitution of these values in the integrated rate equation for AAR (see Bada and Schroeder, 1972) yields an in situ forward rate constant KL = 2.59 x 10-7 yr-1 [see publication for super- and sub-script], wich was then used to calculate ages for all other samples. This calculation assumes that all samples have had similar diagenetic histories (particularly temperature) and that no contamination is present. Because all samples were deeply buried and lie within a climatically and geologically uniform region and because the dates are stratigraphically consistent, these assumptions appear reasonable. No attempt was made to restrict analyses to a single tree species.

AAR Calibration samples: BJP-029 (this sample), BJP-028, BJP-027, BJP-026",integrated rate equation,,,1084,0.112,,370.00,50.000,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-06-12 17:30:04
112,1,"Pillans, 1983
 Ryan et al., 2020",,PI83-002,PI83-002-001,BJP-028,,Unknown,wood fragment ,,wood fragment,No,,,,,Wood sample collected from tephric lignite,unknown,Yes,,,,-39.570839,174.449904,No,, ,N/A,N/A,N/A,N/A,,Equal to,MIS 11,MIS 11. Fission-track age of overlying Rangitawa Pumice used to constrain age.,400.00,,,Analytical methods as described by Lee et al (1976) except no desalting step,modified Technicon amino acid auto-analyzer,,,,peak area,No.,1-sigma,,,,,,,,,,,0.115,,,,"Age determined by extent of isoleucine epimerisation and calibrated against this (1 of 4) wood samples closely underlying rhyolitic Rangitawa tephra, fission-track dated at 370,000 +/- 50,000 15 km NE of Hawera. Details in Pillans & Kohn, 1981. ",No,Yes,No,N/A,,,,,,,,,,,,,,,,"From publication: The calibration method of age determination was employed using a mean D/L ratio of 0.112 and a mean age of 400,000 yr for four wood samples from the lignite at locality 3 [see samples PI83-01, 02 (this sample), 03, 04]. An initial D/L ratio of 0.01 was assumed for all calculations and is based on analysis of yong radiocarbon-dated samples. A value of 0.86 for the equilibrium constant for isoleucine epimerization in wood was determined by Lee et al (1976) and was used in this study. Substitution of these values in the integrated rate equation for AAR (see Bada and Schroeder, 1972) yields an in situ forward rate constant KL = 2.59 x 10-7 yr-1 [see publication for super- and sub-script], wich was then used to calculate ages for all other samples. This calculation assumes that all samples have had similar diagenetic histories (particularly temperature) and that no contamination is present. Because all samples were deeply buried and lie within a climatically and geologically uniform region and because the dates are stratigraphically consistent, these assumptions appear reasonable. No attempt was made to restrict analyses to a single tree species.

AAR Calibration samples: BJP-029, BJP-028 (this sample), BJP-027, BJP-026",integrated rate equation,,,1084,0.112,,370.00,50.000,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-06-12 17:30:27
113,1,"Pillans, 1983
 Ryan et al., 2020",,PI83-003,PI83-003-001,BJP-027,,Unknown,wood fragment ,,wood fragment,No,,,,,Wood sample collected from tephric lignite,unknown,Yes,,,,-39.570839,174.449904,No,, ,N/A,N/A,N/A,N/A,,Equal to,MIS 11,MIS 11. Fission-track age of overlying Rangitawa Pumice used to constrain age.,400.00,,,Analytical methods as described by Lee et al (1976) except no desalting step,modified Technicon amino acid auto-analyzer,,,,peak area,No.,1-sigma,,,,,,,,,,,0.111,,,,"Age determined by extent of isoleucine epimerisation and calibrated against this (1 of 4) wood samples closely underlying the rhyolitic Rangitawa tephra, fission-track dated at 370,000 +/- 50,000 15 km NE of Hawera. Details in Pillans & Kohn, 1981. ",No,Yes,No,N/A,,,,,,,,,,,,,,,,"From publication: The calibration method of age determination was employed using a mean D/L ratio of 0.112 and a mean age of 400,000 yr for four wood samples from the lignite at locality 3 [see samples PI83-01, 02, 03 (this sample), 04]. An initial D/L ratio of 0.01 was assumed for all calculations and is based on analysis of yong radiocarbon-dated samples. A value of 0.86 for the equilibrium constant for isoleucine epimerization in wood was determined by Lee et al (1976) and was used in this study. Substitution of these values in the integrated rate equation for AAR (see Bada and Schroeder, 1972) yields an in situ forward rate constant KL = 2.59 x 10-7 yr-1 [see publication for super- and sub-script], wich was then used to calculate ages for all other samples. This calculation assumes that all samples have had similar diagenetic histories (particularly temperature) and that no contamination is present. Because all samples were deeply buried and lie within a climatically and geologically uniform region and because the dates are stratigraphically consistent, these assumptions appear reasonable. No attempt was made to restrict analyses to a single tree species.

AAR Calibration samples: BJP-029, BJP-028, BJP-027 (this sample), BJP-026",integrated rate equation,,,1084,0.112,,370.00,50.000,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-06-12 17:30:57
114,1,"Pillans, 1983
 Ryan et al., 2020",,PI83-004,PI83-004-001,BJP-026,,Unknown,wood fragment ,,wood fragment,No,,,,,Wood sample collected from tephric lignite,unknown,Yes,,,,-39.570839,174.449904,No,, ,N/A,N/A,N/A,N/A,,Equal to,MIS 11,MIS 11. Fission-track age of overlying Rangitawa Pumice used to constrain age.,400.00,,,Analytical methods as described by Lee et al (1976) except no desalting step,modified Technicon amino acid auto-analyzer,,,,peak area,No.,1-sigma,,,,,,,,,,,0.118,,,,"Age determined by extent of isoleucine epimerisation and calibrated against this (1 of 4) wood samples closely underlying the rhyolitic Rangitawa tephra, fission-track dated at 370,000 +/- 50,000 15 km NE of Hawera. Details in Pillans & Kohn, 1981. ",No,Yes,No,N/A,,,,,,,,,,,,,,,,"From publication: The calibration method of age determination was employed using a mean D/L ratio of 0.112 and a mean age of 400,000 yr for four wood samples from the lignite at locality 3 [see samples PI83-01, 02, 03, 04 (this sample)]. An initial D/L ratio of 0.01 was assumed for all calculations and is based on analysis of yong radiocarbon-dated samples. A value of 0.86 for the equilibrium constant for isoleucine epimerization in wood was determined by Lee et al (1976) and was used in this study. Substitution of these values in the integrated rate equation for AAR (see Bada and Schroeder, 1972) yields an in situ forward rate constant KL = 2.59 x 10-7 yr-1 [see publication for super- and sub-script], wich was then used to calculate ages for all other samples. This calculation assumes that all samples have had similar diagenetic histories (particularly temperature) and that no contamination is present. Because all samples were deeply buried and lie within a climatically and geologically uniform region and because the dates are stratigraphically consistent, these assumptions appear reasonable. No attempt was made to restrict analyses to a single tree species.

AAR Calibration samples: BJP-029, BJP-028, BJP-027, BJP-026 (this sample)",integrated rate equation,,,1084,0.112,,370.00,50.000,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-06-12 17:31:54
116,1,"Pillans, 1983
 Ryan et al., 2020",,PI83-005,PI83-005-001,BJP-041,,Unknown,wood fragment ,,wood fragment,No,,,,,Wood sample collected from marine sand of Hauriri Terrace,unknown,Yes,,,,-39.831761,174.632865,No,, ,N/A,N/A,N/A,N/A,,Equal to,MIS 3,MIS 3,60.00,,,Analytical methods as described by Lee et al (1976) except no desalting step,modified Technicon amino acid auto-analyzer,,,,peak area,No.,1-sigma,,,,,,,,,,,0.026,,,,"Age determined by extent of isoleucine epimerisation and calibrated against wood samples closely underlying the rhyolitic Rangitawa tephra, fission-track dated at 370,000 +/- 50,000 15 km NE of Hawera. Details in Pillans & Kohn, 1981. ",No,Yes,No,N/A,,,,,,,,,,,,,,,,"From publication: The calibration method of age determination was employed using a mean D/L ratio of 0.112 and a mean age of 400,000 yr for four wood samples from the lignite at locality 3 [see samples PI83-01, 02, 03, 04]. An initial D/L ratio of 0.01 was assumed for all calculations and is based on analysis of yong radiocarbon-dated samples. A value of 0.86 for the equilibrium constant for isoleucine epimerization in wood was determined by Lee et al (1976) and was used in this study. Substitution of these values in the integrated rate equation for AAR (see Bada and Schroeder, 1972) yields an in situ forward rate constant KL = 2.59 x 10-7 yr-1 [see publication for super- and sub-script], wich was then used to calculate ages for all other samples. This calculation assumes that all samples have had similar diagenetic histories (particularly temperature) and that no contamination is present. Because all samples were deeply buried and lie within a climatically and geologically uniform region and because the dates are stratigraphically consistent, these assumptions appear reasonable. No attempt was made to restrict analyses to a single tree species.

AAR Calibration samples: BJP-029, BJP-028, BJP-027, BJP-026",integrated rate equation,,,1084,0.112,,370.00,50.000,,,,,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-06-12 17:33:44
